Country,2018,2019
Afghanistan,,
Africa Eastern and Southern,25.3063998411714,23.9260802442032
Africa Western and Central,,
Albania,31.1140135421951,30.9361224858484
Algeria,23.423105738908,20.407941949491
American Samoa,68.2316118935837,61.6692426584235
Andorra,,
Angola,40.8362898299819,40.7907550532833
Antigua and Barbuda,62.470548111624,69.1646948026456
Arab World,44.6149788326256,42.3849285002328
Argentina,14.4366857499034,17.9248783778462
Armenia,39.3928940286073,41.3508013620849
Aruba,72.2527739552586,73.2345915426225
Australia,21.8940905352475,24.1596779983146
Austria,55.7022394735073,55.8958073929339
Azerbaijan,54.0922938620586,49.0506275016423
"Bahamas, The",35.251809785322,34.9807938540333
Bahrain,75.7153726820796,73.0944239873751
Bangladesh,12.6747879443391,13.0947573353039
Barbados,,
Belarus,70.4550452625374,65.0945839929757
Belgium,83.4830567161373,82.9674275396401
Belize,51.5643737054399,51.8569693924549
Benin,27.2742306189085,29.6305271935478
Bermuda,51.4791563825902,51.7434243981752
Bhutan,29.1897191930732,31.4575032617598
Bolivia,25.9887950588635,24.9672622840166
Bosnia and Herzegovina,41.9845635628313,40.0400711149533
Botswana,44.2281439237392,37.0878176552067
Brazil,14.6349994955075,14.1229191913178
British Virgin Islands,,
Brunei Darussalam,51.9332397479681,57.9460406090157
Bulgaria,65.7651341270555,64.1822870820611
Burkina Faso,28.0789061419219,29.2576956572794
Burundi,5.6856543143069,5.17203999926172
Cabo Verde,45.865993464408,46.7050331370949
Cambodia,55.4713973566208,55.4468679729119
Cameroon,18.7362534690181,19.8500907473186
Canada,32.3254037264858,32.3526958202565
Caribbean small states,,
Cayman Islands,71.587849798792,69.4710255697764
Central African Republic,15.9400300007701,15.7553800018083
Central Europe and the Baltics,62.8389526971536,61.7215440431817
Chad,25.8447812653289,24.968456965958
Channel Islands,,
Chile,28.5290447397579,27.8746677570512
China,18.7705198029033,18.055706959796
Colombia,15.8997196775431,15.8680386541241
Comoros,12.909022989086,12.7734606325226
"Congo, Dem. Rep.",32.5535282647371,25.8676651009614
"Congo, Rep.",62.2105922950548,56.1988143702835
Costa Rica,33.7385107761818,34.3253215592844
Cote d'Ivoire,22.6941999168587,22.6604887650452
Croatia,49.1092106291889,50.4892350523665
Cuba,14.5227333911607,12.2133743797594
Curacao,63.2460008659465,
Cyprus,74.511134620546,75.7588676037208
Czechia,75.6097814865591,72.1248511386482
Denmark,56.9833683807386,58.9506079167167
Djibouti,156.619986522272,166.717864481384
Dominica,,
Dominican Republic,23.993089643769,23.325332586795
Early-demographic dividend,25.7631122324718,24.7149763100036
East Asia & Pacific,28.8156766998523,27.6126844403283
East Asia & Pacific (IDA & IBRD countries),22.9707719685091,22.055602446993
East Asia & Pacific (excluding high income),22.9721209933365,22.0569161027075
Ecuador,23.5438701347327,24.0486345985713
"Egypt, Arab Rep.",17.984655608418,16.6440314510365
El Salvador,28.9343737810256,29.9559096080003
Equatorial Guinea,59.6145347244398,51.1307495482003
Eritrea,,
Estonia,72.9004951572088,72.0191543549198
Eswatini,40.863798582106,44.761705694096
Ethiopia,8.37267815589761,7.93996502459584
Euro area,47.0550016412081,47.3078898391143
Europe & Central Asia,44.5311083965316,44.4587131208568
Europe & Central Asia (IDA & IBRD countries),37.4513703292445,36.5158626268023
Europe & Central Asia (excluding high income),36.5427334676433,36.7350833031766
European Union,48.2297316018383,48.5093967942336
Faroe Islands,52.8180066352782,55.7701753016943
Fiji,47.7487957741689,48.4609021522354
Finland,39.1492205860158,40.6183181143561
Fragile and conflict affected situations,,
France,32.9179818922164,32.8895593910847
French Polynesia,20.9791687502218,20.5923590296429
Gabon,54.2990764910062,51.4310732271996
"Gambia, The",22.2881797710858,20.1658912380486
Georgia,49.6955410587561,54.3043084100873
Germany,42.6073917339186,42.3863044855837
Ghana,33.4548954489265,37.4495998625311
Gibraltar,,
Greece,38.630976154138,39.5602917930958
Greenland,44.4545789045455,41.0427004962382
Grenada,,
Guam,19.2530160304082,22.2501966955153
Guatemala,18.1693265265636,17.6119761529528
Guinea,40.2070955328741,35.0420493356329
Guinea-Bissau,25.4768673297515,18.3667190776921
Guyana,,
Haiti,10.7808225917355,10.5576734334849
Heavily indebted poor countries (HIPC),23.4011221103174,22.8242643638227
High income,31.8358433450337,30.949900036253
Honduras,41.4548165613247,40.2189637388964
"Hong Kong SAR, China",188.339507002291,177.651315174364
Hungary,83.3967795001256,81.065700696964
IBRD only,25.102136941911,24.1958935416205
IDA & IBRD total,24.6658253676495,23.7934077734655
